	Name	Path	Lev1	Lev2	Lev3
K03008	DNA-directed RNA polymerase II subunit RPB11	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03010	DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03011	DNA-directed RNA polymerase II subunit RPB3	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03012	DNA-directed RNA polymerase II subunit RPB4	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03013	DNA-directed RNA polymerases I, II, and III subunit RPABC1	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03014	DNA-directed RNA polymerases I, II, and III subunit RPABC2	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03015	DNA-directed RNA polymerase II subunit RPB7	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03016	DNA-directed RNA polymerases I, II, and III subunit RPABC3	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03017	DNA-directed RNA polymerase II subunit RPB9	Genetic Information Processing; Transcription; RNA polymerase | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03018	DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03019	DNA-directed RNA polymerase III subunit RPC11	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03021	DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03025	DNA-directed RNA polymerase III subunit RPC6	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03026	DNA-directed RNA polymerase III subunit RPC4	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03027	DNA-directed RNA polymerases I and III subunit RPAC1	Genetic Information Processing; Transcription; RNA polymerase | Organismal Systems; Immune system; Cytosolic DNA-sensing pathway | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03028	26S proteasome regulatory subunit N1	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03029	26S proteasome regulatory subunit N10	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03030	26S proteasome regulatory subunit N11	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Brite Hierarchies	Protein families: genetic information processing	Proteasome
K03031	26S proteasome regulatory subunit N12	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03032	26S proteasome regulatory subunit N2	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03033	26S proteasome regulatory subunit N3	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03035	26S proteasome regulatory subunit N5	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03036	26S proteasome regulatory subunit N6	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03037	26S proteasome regulatory subunit N7	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03038	26S proteasome regulatory subunit N8	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03039	26S proteasome regulatory subunit N9	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03041	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03042	"DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03043	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03044	DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03045	"DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]"	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03047	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03048	DNA-directed RNA polymerase subunit delta	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03049	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03050	"DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03051	DNA-directed RNA polymerase subunit F [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03053	DNA-directed RNA polymerase subunit H [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03055	DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03056	DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03057	transcription termination factor TFS	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03058	DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03059	DNA-directed RNA polymerase subunit P [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Genetic Information Processing	Transcription	RNA polymerase
K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	RNA polymerase
K03061	26S proteasome regulatory subunit T1	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03062	26S proteasome regulatory subunit T2	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Cancers: Overview; Viral carcinogenesis | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Human Diseases	Infectious diseases: Viral	Proteasome
K03063	26S proteasome regulatory subunit T3	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03064	26S proteasome regulatory subunit T4	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03065	26S proteasome regulatory subunit T5	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03066	26S proteasome regulatory subunit T6	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Proteasome	Genetic Information Processing	Folding, sorting and degradation	Proteasome
K03070	preprotein translocase subunit SecA	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03071	preprotein translocase subunit SecB	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Folding, sorting and degradation	Protein export
K03072	preprotein translocase subunit SecD	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03073	preprotein translocase subunit SecE	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03074	preprotein translocase subunit SecF	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03075	preprotein translocase subunit SecG	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03076	preprotein translocase subunit SecY	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03077	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03079	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03083	glycogen synthase kinase 3 beta [EC:2.7.11.26]	Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; Wnt signaling pathway | Environmental Information Processing; Signal transduction; Hedgehog signaling pathway | Environmental Information Processing; Signal transduction; Hedgehog signaling pathway - fly | Environmental Information Processing; Signal transduction; Hippo signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway | Cellular Processes; Cell growth and death; Cell cycle | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; IL-17 signaling pathway | Organismal Systems; Immune system; B cell receptor signaling pathway | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Endocrine system; Prolactin signaling pathway | Organismal Systems; Endocrine system; Thyroid hormone signaling pathway | Organismal Systems; Endocrine system; Melanogenesis | Organismal Systems; Nervous system; Dopaminergic synapse | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Development; Axon guidance | Organismal Systems; Environmental adaptation; Circadian rhythm - fly | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Specific types; Colorectal cancer | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cancers: Specific types; Gastric cancer | Human Diseases; Cancers: Specific types; Basal cell carcinoma | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Cancers: Specific types; Endometrial cancer | Human Diseases; Cancers: Specific types; Breast cancer | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD) | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Human Diseases; Endocrine and metabolic diseases; Cushing syndrome | Human Diseases; Infectious diseases: Viral; Measles | Human Diseases; Infectious diseases: Viral; Influenza A | Human Diseases; Infectious diseases: Viral; Hepatitis C | Human Diseases; Infectious diseases: Viral; Human cytomegalovirus infection | Human Diseases; Infectious diseases: Viral; Kaposi sarcoma-associated herpesvirus infection | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Drug resistance: Antineoplastic; EGFR tyrosine kinase inhibitor resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Human Diseases	Signal transduction	ErbB signaling pathway
K03086	RNA polymerase primary sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03087	RNA polymerase nonessential primary-like sigma factor	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae
K03088	RNA polymerase sigma-70 factor, ECF subfamily	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03089	RNA polymerase sigma-32 factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03090	RNA polymerase sigma-B factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03091	RNA polymerase sporulation-specific sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03092	RNA polymerase sigma-54 factor	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Environmental Information Processing	Signal transduction	Two-component system
K03093	RNA polymerase sigma factor	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K03094	S-phase kinase-associated protein 1	Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum | Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Environmental Information Processing; Signal transduction; Wnt signaling pathway | Environmental Information Processing; Signal transduction; Hedgehog signaling pathway - fly | Environmental Information Processing; Signal transduction; TGF-beta signaling pathway | Cellular Processes; Cell growth and death; Cell cycle | Cellular Processes; Cell growth and death; Cell cycle - yeast | Cellular Processes; Cell growth and death; Oocyte meiosis | Organismal Systems; Environmental adaptation; Circadian rhythm | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Environmental Information Processing	Signal transduction	Protein processing in endoplasmic reticulum
K03095	SprT-like protein	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	Not Included in Pathway or Brite	Poorly characterized	General function prediction only
K03097	casein kinase II subunit alpha [EC:2.7.11.1]	Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes | Environmental Information Processing; Signal transduction; Wnt signaling pathway | Environmental Information Processing; Signal transduction; NF-kappa B signaling pathway | Cellular Processes; Transport and catabolism; Mitophagy - animal | Cellular Processes; Transport and catabolism; Mitophagy - yeast | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Organismal Systems; Environmental adaptation; Circadian rhythm - plant | Human Diseases; Infectious diseases: Viral; Measles | Human Diseases; Infectious diseases: Viral; Herpes simplex infection | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	Cellular Processes	Signal transduction	Ribosome biogenesis in eukaryotes
K03098	apolipoprotein D and lipocalin family protein	Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome
K03099	son of sevenless	Environmental Information Processing; Signal transduction; Ras signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway | Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly | Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; Jak-STAT signaling pathway | Environmental Information Processing; Signal transduction; FoxO signaling pathway | Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Gap junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Natural killer cell mediated cytotoxicity | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; B cell receptor signaling pathway | Organismal Systems; Immune system; Fc epsilon RI signaling pathway | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Endocrine system; GnRH signaling pathway | Organismal Systems; Endocrine system; Estrogen signaling pathway | Organismal Systems; Endocrine system; Prolactin signaling pathway | Organismal Systems; Endocrine system; Relaxin signaling pathway | Organismal Systems; Nervous system; Neurotrophin signaling pathway | Organismal Systems; Development; Dorso-ventral axis formation | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Choline metabolism in cancer | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Colorectal cancer | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cancers: Specific types; Gastric cancer | Human Diseases; Cancers: Specific types; Glioma | Human Diseases; Cancers: Specific types; Acute myeloid leukemia | Human Diseases; Cancers: Specific types; Chronic myeloid leukemia | Human Diseases; Cancers: Specific types; Renal cell carcinoma | Human Diseases; Cancers: Specific types; Prostate cancer | Human Diseases; Cancers: Specific types; Endometrial cancer | Human Diseases; Cancers: Specific types; Breast cancer | Human Diseases; Cancers: Specific types; Non-small cell lung cancer | Human Diseases; Substance dependence; Alcoholism | Human Diseases; Infectious diseases: Viral; Hepatitis B | Human Diseases; Infectious diseases: Viral; Hepatitis C | Human Diseases; Infectious diseases: Viral; Human cytomegalovirus infection | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Drug resistance: Antineoplastic; EGFR tyrosine kinase inhibitor resistance | Human Diseases; Drug resistance: Antineoplastic; Endocrine resistance	Human Diseases	Cancers: Specific types	Ras signaling pathway
K03100	signal peptidase I [EC:3.4.21.89]	Genetic Information Processing; Folding, sorting and degradation; Protein export | Brite Hierarchies; Protein families: metabolism; Peptidases	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03101	signal peptidase II [EC:3.4.23.36]	Genetic Information Processing; Folding, sorting and degradation; Protein export | Brite Hierarchies; Protein families: metabolism; Peptidases	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03102	squid	Organismal Systems; Development; Dorso-ventral axis formation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome	Brite Hierarchies	Protein families: genetic information processing	Dorso-ventral axis formation
K03103	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K03105	signal recognition particle subunit SRP19	Genetic Information Processing; Folding, sorting and degradation; Protein export | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]	Genetic Information Processing; Folding, sorting and degradation; Protein export | Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
K03107	signal recognition particle subunit SRP68	Genetic Information Processing; Folding, sorting and degradation; Protein export | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Genetic Information Processing	Folding, sorting and degradation	Protein export
